item,itemLabel,position,positionLabel,start,end,psid
Q111828611,Armando Inroga,Q109949809,Minister of Industry and Trade,2010-10-12,2015-01-15,Q111828611-5A7C30F9-5A0D-4C28-8F26-126D5AE67B35
Q111828612,Armirinho da Cruz Marco Manhaze,Q111827967,Minister of Interior and Security,1996-11-08,2005-02-02,Q111828612-B49BED39-9626-490A-9F87-CE5F7C9DC72F
Q111828613,Arnaldo Nhavoto,Q111827956,Minister of Education,1994-12-16,2000-01-17,Q111828613-2E65D87F-5534-4843-9D57-715B2059FD64
Q111828614,Augusto Jone,Q111827956,Minister of Education,2012-10-08,2015-01-15,Q111828614-1FD65D81-63B7-4E8D-8A18-954D658F2877
Q111828615,Aurelio Zilhao,Q98966133,Minister of Health,1994-12-16,2000-01-17,Q111828615-006F6A07-02AD-41CD-BC6A-B8DAA15185FF
Q111828616,Bernado Ferraz,Q111827959,Minister of Environment,1994-12-16,2000-01-17,Q111828616-5F5792E7-B057-43B4-9C60-7C1B6B9AA6E1
Q111828617,Cadmiel Muthemba,Q111827961,Minister of Fishing,2005-02-11,2010-01-19,Q111828617-1F5569BD-0CD9-4756-8070-ADEF18AC2DAA
Q111828617,Cadmiel Muthemba,Q111827961,Minister of Fishing,2000-02-15,2005-02-02,Q111828617-D661C9CD-3723-43EB-A500-90038B028E52
Q111828617,Cadmiel Muthemba,Q111827977,Minister of Public Works and Housing,2010-01-19,2015-01-15,Q111828617-F4119306-39E3-4F86-8FC7-AA2967002B2C
Q111828618,Carlos Bonete Martinho,Q111827978,"Minister of Public Works, Housing and Water Resources",2015-01-15,2018-05-15,Q111828618-753DF553-C0AE-45A3-8737-AC1852A72D08
Q111828619,Carlos Morgado,Q109949809,Minister of Industry and Trade,2000-01-17,2005-02-02,Q111828619-93A9B184-0A56-4012-91BE-91491C7789A2
Q111828620,Castigo Langa,Q109950037,Minister of Mineral Resources and Energy,2000-01-17,2005-02-02,Q111828620-DDB3A7BA-3A2C-4ECC-9F76-9FF56D634484
Q111828621,Conceita Ernesto Xavier Sortane,Q109950218,Minister of Education and Human Development,2016-11-24,2020-01-17,Q111828621-47199F64-8F9F-4BD8-86DD-1A64F13350E1
Q111828622,Erasmo Muhate,Q111827908,Minister of Agriculture,2007-02-27,2015-01-15,Q111828622-2693E9AA-9942-4629-AE8F-EE9B964D40E2
Q111828624,Eusebio Lambo Gumbiwa,Q109950869,Minister of Veterans Affairs,2015-01-15,2020-01-17,Q111828624-514646D2-239B-4657-852F-3896D0419A53
Q111828625,Feliciano Salomao Gundana,Q109950869,Minister of Veterans,2005-02-11,2010-01-19,Q111828625-03CFB5A2-09DE-4D07-8896-763C184D4E75
Q111828625,Feliciano Salomao Gundana,Q111827982,Minister of Social Matters,2010-01-19,2015-01-15,Q111828625-6FF4F961-A312-4729-B562-4BBAFE343195
Q111828626,Fernando Sumbane,Q111827990,Minister of Tourism,2000-01-17,2005-02-02,Q111828626-15520E45-6483-4A56-82A4-6AB9EF70F43A
Q111828626,Fernando Sumbane,Q111827990,Minister of Tourism,2005-02-11,2012-10-08,Q111828626-73B68CA2-E877-48A3-8FDB-C8444797ABE0
Q111828626,Fernando Sumbane,Q111827996,Minister of Youth and Sports,2012-10-08,2015-01-15,Q111828626-92BDD3FB-0BB7-4A14-BA0D-5A2463C4CD8D
Q111828627,Guilherme Luis Mavila,Q109950203,Minister of Labour,1994-12-16,2000-01-17,Q111828627-1892C49B-5650-4D6E-B416-34ABE2897630
Q111828630,Higino Francisco Marrule,Q111827908,Minister of Agriculture,2017-12-12,2020-01-17,Q111828630-9A0283DF-7278-4F37-A6A2-F245C2AD385A
Q111828631,Isaque Chande,Q109950298,Minister of Justice and Constitutional and Religious Affairs,2016-03-26,2018-06-13,Q111828631-FB103B9A-9039-4087-8C1E-DF482A15C2DE
Q111828632,Joel Libombo,Q111827996,Minister of Youth and Sports,2000-01-17,2005-02-02,Q111828632-58348484-FF63-452D-9890-51FE5CEF22CA
Q111828633,Jorge Penicela Nhambiu,Q111827980,"Minister of Science, Technology, and Higher, Technical and Professional Education",2015-01-15,2020-01-17,Q111828633-7D5A0160-4106-4344-ACD5-3882235EFF72
Q111828634,Jose Chichava,Q111827984,Minister of State Administration,2000-01-17,2005-02-02,Q111828634-ECD926C5-40D5-4420-938C-7015CB61C311
Q111828635,João Kachamila,Q111827959,Minister of Environment,2000-01-17,2005-02-02,Q111828635-3FE31811-B8EB-4A66-983A-19B168D336D3
Q111828635,João Kachamila,Q109950037,Minister of Mineral Resources and Energy,1994-12-16,2000-01-17,Q111828635-D8D3D5D4-A5F9-46C0-93C8-D9850B37A281
Q111828636,Louis Augusto Mutomene Pelembe,Q111827979,Minister of Science and Technology,2012-10-08,2015-01-15,Q111828636-F75A7CD6-F963-4D01-9D1B-3704BF579825
Q111828637,Lucas Chomera,Q111827984,Minister of State Administration,2005-02-11,2010-01-19,Q111828637-3A5D101D-A850-416E-A3CA-BEB9115F78D9
Q111828638,Luciano Andre de Castro,Q111827959,Minister of Environment,2005-02-11,2008-03-10,Q111828638-65A8E64D-0BE6-4D8D-9306-C01F139F83D1
Q111828639,Luis Antonio Ferrao,Q109950218,Minister of Education and Human Development,2015-01-15,2016-11-24,Q111828639-7C856590-642E-44D9-9A93-6B19B26C6A09
Q111828642,Mario Sevene,Q109950203,Minister of Labour,2000-01-17,2005-02-02,Q111828642-73315278-28DC-4631-8D2C-1B9D85F4ACC9
Q111828644,Mateus Catupa,Q111827950,"Minister of Culture, Youth and Sports",1994-12-16,2000-01-17,Q111828644-55C0A49E-0D06-4389-8B70-C713E57194F5
Q111828645,Mateus Oscar Kida,Q109950869,Minister of Veterans,2010-01-19,2015-01-15,Q111828645-DF37D929-8363-4D8B-9126-BE64286DB348
Q111828646,Paulo Ivo Garrido,Q98966133,Minister of Health,2005-02-11,2010-10-12,Q111828646-496F6040-8E85-4D40-BBC3-107A64BC8658
Q111828647,Paulo Muxango,Q109950952,Minister of Transport and Communications,1994-12-16,2000-01-17,Q111828647-E2A9CABD-C49B-4BDA-B1B2-C258987AB908
Q111828648,Pedrito Caetano,Q111827996,Minister of Youth and Sports,2010-01-19,2012-10-08,Q111828648-A97523AD-7191-4D4C-8740-DC5779C6AC28
Q111828649,Pedro Conceicao Couto,Q109950037,Minister of Mineral Resources and Energy,2015-01-15,2016-09-29,Q111828649-42F412AF-DBB6-497C-8C7C-22F5A5311CDC
Q111828650,Ragendra Berta de Sousa,Q109949809,Minister of Industry and Trade,2017-12-22,2020-01-17,Q111828650-41650FBE-808C-47CA-80DB-59D6FBAE5823
Q111828651,Roberto White,Q111827977,Minister of Public Works and Housing,1994-12-16,2005-02-02,Q111828651-AB5346DA-8E71-41CC-88FD-D598F1CE8C5B
Q111828653,Silva Armando Dunduru,Q109949840,Minister of Culture and Tourism,2015-01-15,2020-01-17,Q111828653-E5C99AE3-4730-4094-A9DC-A4B9AD23048E
Q111828654,Soares Nhaca,Q111827908,Minister of Agriculture,2007-12-11,2010-10-12,Q111828654-84E82C50-F30F-490D-A909-5E6BF447451E
Q111828655,Thomas Salomao,Q111827975,Minister of Planning and Finance,1994-12-16,2000-01-17,Q111828655-8C67A3D7-2B84-4F7E-BFD8-616477FBF91D
Q111828655,Thomas Salomao,Q109950952,Minister of Transport and Communications,2000-01-17,2005-02-02,Q111828655-B7073657-81C4-4755-99E3-BDD0C00CC873
Q111828656,Tomas Mandlate,Q111827908,Minister of Agriculture,2005-02-11,2007-02-27,Q111828656-AFCBE35C-6AFC-4EDD-895B-EEECFBD6ACB0
Q111828657,Venancio Simao Massingue,Q111827979,Minister of Science and Technology,2005-02-11,2012-10-08,Q111828657-D56D3D58-8051-4749-A888-35D71C85E3CD
Q111828658,Virginia Matabele,Q111827993,Minister of Women Affairs and Social Welfare,2005-02-11,2010-01-19,Q111828658-020FF7B7-E675-40B9-BDA5-3217158B3169
Q111828658,Virginia Matabele,Q111827993,Minister of Women Affairs and Social Welfare,2000-01-17,2005-02-02,Q111828658-0C685996-190D-43EF-AFFA-179DB18DFF87
Q111828659,Zeferino Alexandre Martins,Q111827956,Minister of Education,2010-01-19,2012-10-08,Q111828659-05E20E34-6374-43B4-9DFD-07A602EF48D5
Q1383773,Pascual Manuel Mucumbi,Q30100629,Prime Minister,1994-12-16,2004-02-17,Q1383773-12789C5B-DB1F-436C-B1F0-11A72B70879A
Q16733150,Salvador Namburete,Q111827958,Minister of Energy,2005-02-11,2015-01-15,Q16733150-34BAE667-8F94-40F5-B0D7-87DBF244337B
Q18350460,Agostinho Salvador Mondlane,Q111827988,"Minister of The Sea, Inland Waters and Fishing",2015-01-15,2020-01-17,Q18350460-08FFC625-7F3B-4352-BF27-8B9E43BD1984
Q18350460,Agostinho Mondlane,Q98755271,Minister of Defence,2014-03-14,2015-01-15,Q18350460-8D12774B-92C2-4D2E-B8C0-CADB9483B3C2
Q19057400,Carlos do Rosario,Q30100629,Prime Minister,2015-01-19,2022-03-03,Q19057400-08bf7e6b-46b8-9906-0ea5-12d36456834f
Q19057400,Carlos Rosario,Q111827909,Minister of Agriculture and Fishing,1994-12-16,2000-01-17,Q19057400-1CAAA358-E4E7-4F80-94C6-CBCB56BFAD94
Q19816448,Carmelita Namashulua,Q111827984,Minister of State Administration,2010-01-19,2015-01-15,Q19816448-983F19CF-BE28-44F7-B9B1-F55E711B9445
Q19816448,Carmelita Rita Namashalua,Q111827987,Minister of State Administration and the Public Service,2015-01-15,2020-01-17,Q19816448-DD8E1BCC-71AE-498D-8014-50402669B4C9
Q19834060,Adelaide Anchia Amurane,Q111827976,Minister of Presidential Affairs,2015-01-15,2020-01-17,Q19834060-44289826-9372-402E-B225-2D5D5C1978FB
Q19834060,Adelaide Anchia Amurane,Q111827974,"Minister of Parliamentary, Municipal and Provincial Assembly Affairs",2010-01-19,2015-01-15,Q19834060-A24E1F6D-60A5-42FF-890F-77A47756AFCB
Q19834890,Atanasio Salvador Ntumuke,Q98755271,Minister of Defence,2015-01-15,2020-01-17,Q19834890-89F4EECC-95FB-4113-BA9A-81797C6F9B89
Q19958795,Nazira Karimo Vali Abdula,Q98966133,Minister of Health,2015-01-19,2020-01-17,Q19958795-58b94330-493b-fa09-fb8a-ec094c4e9805
Q20014463,Vitoria Dias Diogo,Q111827969,"Minister of Labour, Employment and Social Security",2015-01-15,2020-01-17,Q20014463-23D3F1A7-BC5F-4E54-A684-4E3BD3D0007A
Q20014463,Vitoria Diogo,Q111827912,Minister of Civil Service,2010-01-19,2015-01-15,Q20014463-D889CFFF-6B67-42B3-810B-8BE6C408CF09
Q20192117,Jaime Basilio Monteiro,Q109951016,Minister of Interior,2015-01-15,2020-01-17,Q20192117-1500BAB1-A3DE-4DA4-B6BA-1E194B36732E
Q208355,Joaquim Alberto Chissano,Q18565665,President,1986-11-06,2005-02-02,Q208355-86503cd9-462a-2823-05c6-25375c73f6f3
Q236020,Luisa Diogo,Q111827975,Minister of Planning and Finance,2000-01-17,2004-02-17,Q236020-1057A9C2-2F55-4FAA-9775-D80F69F45D4D
Q236020,Luísa Diogo,Q98755316,Minister of Economy and Finances of Mozambique,2000-01-01,2005-01-01,Q236020-64C35D10-8ACC-474D-88CE-79550FCA512B
Q236020,Luísa Diogo,Q30100629,Prime Minister of Mozambique,2004-02-17,2010-01-16,Q236020-A2C052F1-EB92-49BB-A986-A0726C952ECD
Q23904963,Helena Saipo,Q109950203,Minister of Labour,2005-02-11,2015-01-15,Q23904963-E905EC67-CA38-4B5B-85FF-EA41066A5EC3
Q25428943,Carvalho Muaria,Q111827990,Minister of Tourism,2012-10-08,2015-01-15,Q25428943-939C60C2-A938-436D-A9FD-BB9E4FFA4412
Q26995850,Iolanda Cintura,Q111827994,Minister of Womens Affairs and Social Action,2010-01-19,2015-01-15,Q26995850-80C42A52-729B-4993-A8BD-09D519164F40
Q27220074,Nyeleti Brooke Mondlane,Q111827996,Minister of Youth and Sports,2017-11-23,2020-01-17,Q27220074-0631E8CB-D402-4DA9-ABB7-5A4C1D4CB598
Q27431338,Leticia Klemens,Q109950037,Minister of Mineral Resources and Energy,2016-09-29,2017-12-12,Q27431338-CDD60427-3351-4157-9F3D-F4E1A715C7D7
Q28124175,Murade Isaac Murargy,Q111903926,Secretary General of the Presidency,1995-01-01,2005-01-01,Q28124175-2E56C0E5-8EC9-488C-ADAE-C59ED1C46C64
Q2832185,Alcinda Abreu,Q18345272,Minister of Foreign Affairs and Cooperation,2005-02-11,2008-03-27,Q2832185-9027CF36-4F58-4A85-8BD4-69EFD425136D
Q2832185,Alcinda Abreu,Q111827959,Minister of Environment,2008-03-27,2015-01-15,Q2832185-CD2DC69F-F2D0-4930-8249-BB3F86233761
Q34282,Alberto Vaquina,Q30100629,Prime Minister,2012-10-08,2015-01-17,Q34282-116d8f27-4674-2708-1df0-f6074b5b30c6
Q357430,Aires Bonifacio Aly,Q51279809,Minister of Education and Culture,2005-02-11,2010-01-19,Q357430-BA6DE3CA-2A23-43FE-B58E-D45B69201C07
Q357430,Aires Bonifacio Aly,Q30100629,Prime Minister,2010-01-16,2012-10-08,Q357430-BC2CF2ED-A9CC-4B93-BD56-0D31EF405E65
Q44275924,Adriano Afonso Maleiane,Q98755316,Minister of Economy and Finance,2015-01-19,2022-03-03,Q44275924-1021F521-5757-4E34-9F7F-852D0BA61773
Q5398929,Esperanca Alfreda Machavela,Q111827968,Minister of Justice,2005-02-11,2008-03-10,Q5398929-8079346C-FB56-42F2-A3D6-D7350A33228B
Q5398931,Esperanca Bias,Q111827971,Minister of Mineral Resources,2005-02-11,2015-01-15,Q5398931-A5F7734D-05E3-42F2-BF91-9EDC05026AC6
Q5448556,Filipe Jacinto Nyusi,Q98755271,Minister of Defence,2008-03-27,2014-03-14,Q5448556-208EB7DD-EDD0-44D6-AF96-C615C502E742
Q5448556,Filipe Nyusi,Q18565665,President of Mozambique,2015-02-02,,Q5448556-4c9038af-418a-ff76-8c95-deaf108145f8
Q5483968,Francisco Songane,Q98966133,Minister of Health,2000-01-17,2005-02-02,Q5483968-5B17A28A-0918-4599-8142-18141B5769D2
Q5643918,Antonio Hama Thai,Q109950869,Minister of Veterans,2000-02-15,2005-02-02,Q5643918-960D3264-DB30-431C-8B0C-2C86B81B5107
Q5643918,Antonio Hama Thai,Q111827910,Minister of Armed Forces,1987-06-15,2000-01-17,Q5643918-9A330954-1975-493C-8116-B992DCEB4AA7
Q57392,Armando Guebuza,Q18565665,President of Mozambique,2005-02-02,2015-02-02,Q57392-e544d12b-46e3-3e29-0b44-3219ed9da174
Q58223,Oldemiro Balói,Q18345272,Minister of Foreign Affairs,2008-03-27,2017-12-12,Q58223-8FC85522-1536-489D-9E1B-8C271240B7A2
Q58223,Oldemiro Baloi,Q111827965,"Minister of Industry, Commerce and Tourism",1994-12-16,2000-01-17,Q58223-FC450B62-CE8A-4EB6-8C7C-560CCC1D3F0C
Q5993938,David Simango,Q111827996,Minister of Youth and Sports,2005-02-11,2010-01-19,Q5993938-2F3EE721-20B2-4405-9DDD-998E47AF1264
Q61000406,Alberto Mondlane,Q109951016,Minister of Interior,2010-10-12,2015-01-15,Q61000406-DC07852D-A561-4B15-86EB-A5D47CE8860B
Q62274562,Celso Ismael Correia,Q111827970,"Minister of Land, Environment and Rural Development",2015-01-15,2020-01-17,Q62274562-CF2E9551-E7D5-4CB4-A175-FDC85884EADA
Q6291941,José Condungua Pacheco,Q111827908,Minister of Agriculture,2015-01-15,2017-12-12,Q6291941-62A62A33-8212-4C6E-99B4-CAD6759D6F7D
Q6291941,José Condungua Pacheco,Q109951016,Minister of Interior,2005-02-11,2010-10-12,Q6291941-AD14A844-C1C3-4F3B-8EE1-BCC5AF0A3C39
Q6291941,José Condungua Pacheco,Q111827908,Minister of Agriculture,2010-10-12,2015-01-15,Q6291941-C2DAF444-6FDB-4AAF-AFB4-536F63C10C99
Q6291941,José Condungua Pacheco,Q18345272,Minister of Foreign Affairs and Cooperation,2017-12-12,2020-01-17,Q6291941-DC27EF83-F196-4C70-917B-C8C0F0991DC3
Q6292485,Jose Ibraimo Abudo,Q111827968,Minister of Justice,2000-01-17,2005-02-02,Q6292485-C5559718-12DA-4CD5-8012-11DFF8AB3D08
Q63507934,Francisco Caetano Madeira,Q111827973,Minister of Parliamantary Affairs,2005-02-11,2010-01-19,Q63507934-3913B214-BCA8-4626-A17D-BA2FA8F5C8D6
Q63507934,Francisco Caetano Madeira,Q111827973,Minister of Parliamantary Affairs,1994-12-16,2005-02-02,Q63507934-B7D3DD63-1192-47B8-BA04-03EE28910905
Q65160367,Helder Monteiro,Q109950131,Minister of Agriculture and Rural Development,2000-01-17,2005-02-02,Q65160367-3AC1EDE8-44B9-45EC-8B88-66ACF1CFBAEB
Q6526096,Leonardo Simao,Q111827962,Minister of Foreign Affairs and Cooperation,2000-01-17,2005-02-02,Q6526096-39F45B2E-C238-49BE-9CBC-AF013367FE96
Q6526096,Leonardo Simão,Q18345272,Minister of Foreign Affairs,1994-01-01,2005-01-01,Q6526096-CE91B01E-C900-40D3-BEF7-8259F2943938
Q6543659,Lídia Brito,Q111827963,"Minister of Higher Education, Science and Technology",2000-01-17,2005-02-02,Q6543659-8E2391D8-2085-4F7E-B767-F9C212B820B6
Q6761049,Maria Benvinda Levy,Q111827968,Minister of Justice,2008-03-27,2015-01-15,Q6761049-FC6C0C7A-D7AC-4687-A4FC-D8A8A33022B1
Q7155325,Paulo Zucula,Q109950952,Minister of Transport and Communications,2008-03-27,2015-01-15,Q7155325-06ABECD7-D188-4145-8DD5-B11744C53A52
Q7811637,Tobias Joaquim Dai,Q98755271,Defence Minister of Mozambique,2000-01-17,2008-03-26,Q7811637-397A5247-BEA7-46CB-BC79-DC16F6F0958C
Q88473923,Manuel Chang,Q98755316,Minister of Finance,2005-02-01,2015-01-01,Q88473923-D98A437B-5214-4FDC-83B6-36CC7C6638C5
Q97120054,Victor Manuel Borges,Q111827961,Minister of Fishing,2010-01-19,2015-01-15,Q97120054-C2B3BCB9-F291-405F-A953-64086B311887
Q97221887,Felicio Zacarias,Q111827977,Minister of Public Works and Housing,2005-02-11,2010-01-19,Q97221887-38447A3F-7730-4940-91BF-0257DB2F84AE
Q97285065,Joaquim Veríssimo,Q109950298,Minister of Justice and Constitutional and Religious Affairs,2018-06-13,2020-01-17,Q97285065-BFC92097-3E57-412E-9B0C-046181891F39
